"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hspbol","Hsp2","11","17","93.9486045869025","0.000892060660124889","0.00137594352823481","false","4400","823","11.4","0.002","0","true","-4389","823.1755584321002","true","-0.11079393398751111","0.137594352823481","false"
"","demographic","hispanic_subgroup","hspcam","Hsp2","5078","837.484328211579","10.0257781431741","0.411807639283108","0.0550480839656136","true","181646","5027","1.7","0.073","0.002","true","-176568","5096.283842173629","true","33.8807639283108","5.508440385703784","true"
"","demographic","hispanic_subgroup","hspchl","Hsp2","9","14","94.5626477541371","0.000729867812829454","0.00113315872934297","false","8128","1088","8.1","0.003","0","true","-8119","1088.090069801209","true","-0.2270132187170546","0.11331587293429699","false"
"","demographic","hispanic_subgroup","hspcol","Hsp2","981","333.10809056521","20.6419285925106","0.0795555915984105","0.0258977186806304","false","101445","4235","2.5","0.041","0.002","true","-100464","4248.080272311247","true","3.8555591598410492","2.5974830757120877","false"
"","demographic","hispanic_subgroup","hspcr","Hsp2","57","67.4166151627327","71.8995522452223","0.00462249614791988","0.00544898158507875","false","7567","1018","8.2","0.003","0","true","-7510","1020.229876057352","true","0.16224961479198796","0.5448981585078749","false"
"","demographic","hispanic_subgroup","hspcub","Hsp2","89","64.5213143077542","44.0704308648982","0.00721758170464683","0.00518579011812656","false","41281","2082","3.1","0.017","0.001","true","-41192","2082.9995199231325","true","-0.9782418295353171","0.5281327404096349","false"
"","demographic","hispanic_subgroup","hspdom","Hsp2","1308","370.862508215646","17.2361111056415","0.106074122131214","0.0282763472485536","true","707615","10080","0.9","0.284","0.004","true","-706307","10086.820063825864","true","-17.7925877868786","2.8557867807677537","true"
"","demographic","hispanic_subgroup","hspec","Hsp2","1560","437.716803424315","17.0570027053353","0.126510420890439","0.0333273500656695","true","198854","5674","1.7","0.08","0.002","true","-197294","5690.858634687739","true","4.6510420890439015","3.338730690546455","false"
"","demographic","hispanic_subgroup","hspguatm","Hsp2","1829","511.375595819746","16.9965349151793","0.148325358851675","0.0389169993498741","true","38440","2694","4.3","0.015","0.001","true","-36611","2742.105213152843","true","13.3325358851675","3.8929845085719275","true"
"","demographic","hispanic_subgroup","hsphnd","Hsp2","607","278.431320077322","27.8845405504496","0.0492255291541643","0.0220734206291588","false","51048","3320","4","0.02","0.001","true","-50441","3331.6548440677343","true","2.9225529154164303","2.2096060695784066","false"
"","demographic","hispanic_subgroup","hspme","Hsp2","1569","663.051280068141","25.6896550013712","0.127240288703268","0.0523474732808667","false","343275","9581","1.7","0.138","0.004","true","-341706","9603.915763895475","true","-1.0759711296731993","5.250007579890769","false"
"","demographic","hispanic_subgroup","hspnic","Hsp2","84","107.205410311234","77.5838835658082","0.00681209958640824","0.00866903681692301","false","11854","1498","7.7","0.005","0.001","true","-11770","1501.83121554987","true","0.181209958640824","0.8726522751541225","false"
"","demographic","hispanic_subgroup","hspocam","Hsp2","0","0","","0","0","false","1249","380","18.5","0.001","0","true","-1249","380","true","-0.1","0","true"
